index_name,table_name,column_name,indisunique
events_approved_future_starts_idx,events,status,false
events_approved_future_starts_idx,events,starts_at,false
events_host_id_idx,events,host_id,false
events_pkey,events,id,true
events_search_gin,events,search_tsv,false
events_status_vibe_starts_idx,events,status,false
events_status_vibe_starts_idx,events,vibe,false
events_status_vibe_starts_idx,events,starts_at,false
events_vibe_idx,events,vibe,false
idx_events_coordinates,events,latitude,false
idx_events_coordinates,events,longitude,false
idx_events_host_status_start,events,host_id,false
idx_events_host_status_start,events,status,false
idx_events_host_status_start,events,starts_at,false
idx_events_location_status,events,latitude,false
idx_events_location_status,events,longitude,false
idx_events_location_status,events,status,false
idx_events_location_status,events,starts_at,false
idx_notifications_batch,notifications,batch_key,false
idx_notifications_expires,notifications,expires_at,false
idx_notifications_reference,notifications,reference_id,false
idx_notifications_reference,notifications,reference_table,false
idx_notifications_type,notifications,type,false
idx_notifications_unread,notifications,user_id,false
notifications_pkey,notifications,id,true
notifications_user_id_idx,notifications,user_id,false
unique_user_batch,notifications,user_id,true
unique_user_batch,notifications,batch_key,true
rsvps_event_id_idx,rsvps,event_id,false
rsvps_pkey,rsvps,event_id,true
rsvps_pkey,rsvps,user_id,true
rsvps_user_event_idx,rsvps,user_id,false
rsvps_user_event_idx,rsvps,event_id,false